ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"104.25.244.70","elite","AS13335","US","American Registry Internet Numbers","2","American Registry Internet Numbers","80","socks4","793","1","2024-11-06T05:27:30.862Z","100","8243","8245"
"168.138.174.23","elite","AS31898","SG","Oracle Corporation","193","Oracle Public Cloud","10001","socks4","466","1","2024-11-06T05:27:30.770Z","84","6923","8285"
"203.24.103.8","elite","AS209242","VG","Cloudflare London, LLC","11","Anaga Consulting Limited","80","socks4","2412","85","2024-11-06T05:27:30.754Z","100","8262","8263"
"173.245.49.15","elite","AS13335","US","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","643","1","2024-11-06T05:27:30.960Z","100","1607","1608"
"200.24.255.93","elite","AS52381","AR","Sociedad Cooperativa Popular Limitada de Comodoro","252","Sociedad Cooperativa Popular Limitada de Comodoro","49271","socks4","489","2","2024-11-06T05:27:30.857Z","63","994","1573"
"1.2.214.8","elite","AS23969","TH","TOT Public Company Limited","193","TOT Public Company Limited","4145","socks4","2086","1","2024-11-06T05:27:30.865Z","69","5806","8376"
"103.25.45.38","elite","AS58898","IN","Rainbow communications India Pvt Ltd","187","Rainbow communications India Pvt Ltd","4153","socks4","5112","1","2024-11-06T05:27:30.854Z","99","1453","1463"
"23.105.170.34","elite","AS30633","US","Leaseweb USA, Inc.","95","Leaseweb USA, Inc","53751","socks4","2804","1","2024-11-06T05:27:30.857Z","97","1408","1445"
"110.34.166.181","elite","AS45652","SG","VPLS-SIN","176","Vpls Sin1","4153","socks4","4995","1","2024-11-06T05:27:30.671Z","99","8226","8286"
"89.237.32.65","elite","AS20485","RU","multi-origin SUTTK","73","N/A","51549","socks4","4792","1","2024-11-06T05:27:30.768Z","99","1564","1576"
"23.105.170.30","elite","AS30633","US","Leaseweb USA, Inc.","85","Leaseweb USA, Inc","23416","socks4","4502","1","2024-11-06T05:27:30.672Z","97","1460","1502"
"41.85.189.66","elite","AS28683","BJ","Benin Telecoms Infrastructures SA","103","N/A","39475","socks4","3610","98","2024-11-06T05:27:30.668Z","99","8150","8192"
"103.111.22.26","elite","AS137114","IN","Kwikzo Telecomm Pvt Ltd","187","Kwikzo Telecomm Pvt Ltd","58563","socks4","736","1","2024-11-06T05:27:21.467Z","99","1570","1588"
"121.101.186.201","elite","AS38785","ID","BAGUSNET","194","N/A","43296","socks4","1695","1","2024-11-06T05:27:21.665Z","91","7616","8348"
"43.163.222.156","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","234","Tencent Cloud Computing (Beijing) Co., Ltd","15673","socks5","3111","1","2024-11-06T05:27:21.656Z","100","1584","1588"
"14.115.105.63","elite","AS4134","CN","Chinanet","196","Chinanet GD","3629","socks4","481","1","2024-11-06T05:27:21.661Z","49","4023","8236"
"45.55.41.15","elite","AS14061","US","DigitalOcean, LLC","91","Digital Ocean","10743","socks5","2622","1","2024-11-06T05:27:21.466Z","92","1267","1381"
"203.30.191.92","elite","AS209242","BZ","Cloudflare London, LLC","12","Umpire Associates LTD","80","socks5","1986","2","2024-11-06T05:27:21.465Z","100","8287","8288"
"202.124.43.254","elite","AS9902","KH","NeocomISP Limited","299","NeocomISP Limited","4145","socks4","739","1","2024-11-06T05:27:21.470Z","99","8106","8207"
"45.56.102.153","elite","AS63949","US","Akamai Technologies, Inc.","75","Linode","10120","socks4","4917","1","2024-11-06T05:27:21.663Z","100","844","845"
"104.156.225.134","elite","AS20473","US","The Constant Company","86","Vultr Holdings, LLC","10117","socks5","1102","1","2024-11-06T05:27:21.469Z","71","5859","8266"
